transaction_id,chargeback_date,resolution_cost
txn_000001492,2025-02-19 17:53:27+00:00,15.67
txn_000001498,2025-01-23 18:15:03+00:00,9.35
txn_000001507,2025-01-15 18:46:48+00:00,29.33
txn_000001532,2025-02-12 19:48:35+00:00,10.36
txn_000001600,2025-01-30 23:05:50+00:00,13.88
txn_000001611,2025-01-11 23:38:42+00:00,9.82
txn_000001686,2025-02-14 03:41:37+00:00,14.3
txn_000001717,2025-01-27 05:05:18+00:00,19.88
txn_000001722,2025-01-15 05:10:41+00:00,20.08
txn_000001736,2025-02-22 05:40:27+00:00,30.26
txn_000001739,2025-02-27 05:52:20+00:00,17.32
txn_000001801,2025-01-12 08:23:23+00:00,36.96
txn_000001853,2025-02-17 10:50:43+00:00,32.76
txn_000002146,2025-02-09 23:39:37+00:00,18.4
txn_000002203,2025-02-15 02:16:47+00:00,12.5
txn_000002319,2025-01-24 07:05:22+00:00,19.79
txn_000002336,2025-02-18 07:32:36+00:00,10.4
txn_000002436,2025-02-28 11:52:23+00:00,18.38
txn_000002445,2025-02-13 12:19:51+00:00,10.71
txn_000002478,2025-03-03 13:42:53+00:00,20.66
txn_000002486,2025-01-23 14:18:57+00:00,12.31
txn_000002568,2025-01-21 17:59:08+00:00,33.55
txn_000002580,2025-01-28 18:25:23+00:00,20.68
txn_000002650,2025-02-03 21:29:18+00:00,23.09
txn_000002739,2025-01-21 01:54:36+00:00,14.74
txn_000002740,2025-02-24 01:54:39+00:00,24.63
txn_000002769,2025-01-26 03:00:16+00:00,43.25
txn_000002778,2025-01-14 03:20:57+00:00,41.61
txn_000002780,2025-02-03 03:24:08+00:00,28.02
txn_000002791,2025-01-31 03:43:23+00:00,16.22
txn_000002814,2025-02-11 04:39:45+00:00,27.72
txn_000002845,2025-01-26 06:12:51+00:00,8.76
txn_000002847,2025-03-03 06:18:46+00:00,6.61
txn_000002891,2025-03-04 07:51:34+00:00,12.85
txn_000002931,2025-01-20 09:28:29+00:00,9.84
txn_000002975,2025-02-12 11:07:27+00:00,8.68
txn_000002989,2025-01-15 11:50:20+00:00,13.7
txn_000003052,2025-02-22 14:50:54+00:00,30.1
txn_000003083,2025-02-05 16:06:49+00:00,16.22
txn_000003119,2025-02-01 18:06:34+00:00,23.44
txn_000003128,2025-01-21 18:46:31+00:00,26.83
txn_000003219,2025-02-26 23:26:10+00:00,14.17
txn_000003228,2025-02-01 23:39:12+00:00,29.33
txn_000003249,2025-01-22 00:49:14+00:00,10.53
txn_000003346,2025-01-20 04:51:16+00:00,10.91
txn_000003359,2025-02-21 05:11:44+00:00,30.2
txn_000003419,2025-02-14 07:40:13+00:00,6.6
txn_000003435,2025-01-29 08:23:10+00:00,8.12
txn_000003441,2025-01-31 08:41:45+00:00,12.91
txn_000003520,2025-01-16 12:02:46+00:00,10.11
txn_000003644,2025-01-29 17:20:20+00:00,8.05
txn_000003697,2025-03-02 19:22:50+00:00,31.57
txn_000003819,2025-02-21 00:53:42+00:00,16.14
txn_000003821,2025-01-21 01:02:11+00:00,13.77
txn_000003850,2025-03-01 02:40:06+00:00,11.27
txn_000003873,2025-02-26 03:53:04+00:00,22.61
txn_000003903,2025-02-17 05:08:32+00:00,11.13
txn_000003918,2025-02-17 05:58:22+00:00,12.51
txn_000003962,2025-02-27 08:01:39+00:00,22.99
txn_000003976,2025-02-05 08:35:21+00:00,13.32
txn_000004007,2025-02-18 10:03:27+00:00,7.85
txn_000004044,2025-01-21 11:35:00+00:00,23.59
txn_000004175,2025-01-29 17:25:51+00:00,8.96
txn_000004189,2025-02-09 18:02:18+00:00,7.98
txn_000004197,2025-02-04 18:17:26+00:00,41.14
txn_000004201,2025-02-22 18:30:45+00:00,7.43
txn_000004243,2025-02-01 20:16:42+00:00,17.24
txn_000004248,2025-02-01 20:34:06+00:00,10.61
txn_000004447,2025-03-01 04:33:14+00:00,7.93
txn_000004481,2025-02-15 05:48:36+00:00,9.27
txn_000004507,2025-03-09 06:55:28+00:00,14.41
txn_000004531,2025-03-07 07:55:02+00:00,14.98
txn_000004537,2025-02-25 08:06:45+00:00,20.07
txn_000004567,2025-02-04 09:35:52+00:00,9.57
txn_000004588,2025-02-03 10:24:00+00:00,33.78
txn_000004641,2025-02-06 12:17:06+00:00,36.12
txn_000004761,2025-01-20 18:00:33+00:00,15.1
txn_000004769,2025-01-19 18:27:04+00:00,11.96
txn_000004799,2025-01-30 19:21:27+00:00,9.59
txn_000004801,2025-02-03 19:23:30+00:00,8.83
txn_000004874,2025-02-14 22:50:09+00:00,9.05
txn_000004895,2025-03-06 23:57:14+00:00,20.49
txn_000004934,2025-02-02 01:51:25+00:00,11.5
txn_000004966,2025-02-05 03:25:25+00:00,15.13
txn_000005056,2025-02-16 07:31:47+00:00,7.63
txn_000005106,2025-02-09 09:43:24+00:00,20.57
txn_000005117,2025-03-10 10:00:39+00:00,15.15
txn_000005223,2025-02-24 13:55:51+00:00,16.42
txn_000005272,2025-01-28 15:53:40+00:00,23.49
txn_000005308,2025-02-07 17:13:51+00:00,30.64
txn_000005357,2025-02-18 19:23:39+00:00,8.67
txn_000005361,2025-03-09 19:29:31+00:00,13.21
txn_000005382,2025-01-23 20:17:13+00:00,7.04
txn_000005402,2025-02-04 21:12:45+00:00,25.08
txn_000005432,2025-01-28 22:42:38+00:00,13.58
txn_000005515,2025-03-09 02:23:14+00:00,13.51
txn_000005552,2025-01-25 04:10:43+00:00,23.89
txn_000005562,2025-03-05 04:37:56+00:00,7.97
txn_000005568,2025-02-10 04:47:51+00:00,15.96
txn_000005615,2025-01-22 06:30:39+00:00,32.04
txn_000005649,2025-03-05 07:45:10+00:00,6.81
txn_000005667,2025-03-11 08:52:39+00:00,23.29
txn_000005700,2025-02-13 09:51:41+00:00,19.69
txn_000005716,2025-02-08 10:34:53+00:00,7.69
txn_000005719,2025-01-29 10:47:32+00:00,9.55
txn_000005720,2025-01-20 10:47:37+00:00,5.41
txn_000005815,2025-02-10 14:11:57+00:00,44.29
txn_000005817,2025-01-31 14:13:12+00:00,11.09
txn_000005883,2025-02-18 17:10:11+00:00,9.69
txn_000005887,2025-02-25 17:12:37+00:00,13.52
txn_000006004,2025-03-02 22:08:15+00:00,21.99
txn_000006031,2025-02-16 23:28:31+00:00,32.9
txn_000006032,2025-02-25 23:33:05+00:00,25.67
txn_000006035,2025-01-31 23:39:57+00:00,17.96
txn_000006042,2025-02-03 00:01:45+00:00,32.21
txn_000006086,2025-02-12 01:59:23+00:00,21.22
txn_000006094,2025-02-25 02:36:05+00:00,19.47
txn_000006113,2025-03-04 03:11:07+00:00,9.54
txn_000006122,2025-02-10 03:39:32+00:00,7.3
txn_000006129,2025-02-21 03:54:53+00:00,38.29
txn_000006146,2025-02-27 04:43:25+00:00,15.18
txn_000006158,2025-03-10 05:30:47+00:00,10.62
txn_000006184,2025-01-26 06:59:53+00:00,15.21
txn_000006246,2025-02-08 10:05:08+00:00,17.64
txn_000006300,2025-02-19 12:23:29+00:00,7.76
txn_000006315,2025-02-12 12:50:55+00:00,14.07
txn_000006323,2025-01-27 13:07:05+00:00,18.54
txn_000006385,2025-01-31 15:43:35+00:00,22.68
txn_000006426,2025-03-06 16:58:10+00:00,9.67
txn_000006482,2025-02-03 19:08:19+00:00,25.23
txn_000006525,2025-01-22 20:39:05+00:00,11.68
txn_000006585,2025-02-02 23:03:51+00:00,15.44
txn_000006651,2025-02-08 01:41:46+00:00,12.12
txn_000006705,2025-03-14 03:53:35+00:00,7.84
txn_000006724,2025-01-27 04:28:18+00:00,36.27
txn_000006781,2025-02-27 06:35:40+00:00,15.22
txn_000007029,2025-02-24 18:20:00+00:00,9.1
txn_000007038,2025-01-21 18:47:22+00:00,11.77
txn_000007108,2025-03-09 22:15:54+00:00,14.03
txn_000007134,2025-02-09 23:27:40+00:00,10.95
txn_000007149,2025-02-07 00:00:24+00:00,16.06
txn_000007152,2025-02-19 00:10:30+00:00,19.45
txn_000007239,2025-03-12 04:19:33+00:00,20.11
txn_000007310,2025-02-07 07:24:50+00:00,27.15
txn_000007311,2025-03-06 07:29:04+00:00,11.28
txn_000007372,2025-02-23 10:36:31+00:00,11.27
txn_000007375,2025-03-12 10:42:45+00:00,9.57
txn_000007404,2025-02-28 12:14:52+00:00,8.74
txn_000007459,2025-02-05 14:50:01+00:00,31.37
txn_000007484,2025-01-25 16:04:13+00:00,19.95
txn_000007536,2025-02-28 18:23:04+00:00,12.08
txn_000007600,2025-02-26 20:47:18+00:00,11.94
txn_000007682,2025-02-02 23:51:42+00:00,16.82
txn_000007701,2025-03-01 00:55:17+00:00,15.49
txn_000007720,2025-03-15 01:28:05+00:00,10.44
txn_000007765,2025-03-01 03:33:33+00:00,23.34
txn_000007782,2025-03-16 04:19:48+00:00,48.6
txn_000007854,2025-02-20 07:16:01+00:00,5.26
txn_000007855,2025-01-26 07:22:00+00:00,12.07
txn_000007881,2025-02-07 08:52:09+00:00,10.8
txn_000007907,2025-02-13 10:12:53+00:00,9.93
txn_000007981,2025-01-24 13:39:14+00:00,16.75
txn_000007999,2025-02-13 14:24:32+00:00,8.66
txn_000008039,2025-02-04 15:59:29+00:00,43.92
txn_000008086,2025-03-16 18:10:38+00:00,11.08
txn_000008111,2025-03-11 19:20:49+00:00,20.05
txn_000008119,2025-03-09 19:39:25+00:00,21.17
txn_000008202,2025-02-14 23:15:31+00:00,12.36
txn_000008219,2025-02-05 23:41:02+00:00,45.19
txn_000008232,2025-03-09 00:27:18+00:00,19.65
txn_000008395,2025-02-03 07:53:40+00:00,15.26
txn_000008477,2025-02-09 11:11:40+00:00,13.5
txn_000008485,2025-02-17 11:30:33+00:00,48.31
txn_000008545,2025-02-01 14:26:53+00:00,13.82
txn_000008555,2025-02-16 15:04:18+00:00,21.93
txn_000008634,2025-01-25 18:04:25+00:00,8.83
txn_000008713,2025-02-28 21:15:24+00:00,6.74
txn_000008733,2025-01-31 22:23:54+00:00,28.7
txn_000008830,2025-03-11 01:55:13+00:00,5.93
txn_000008849,2025-02-17 02:36:29+00:00,35.87
txn_000008879,2025-02-24 03:49:01+00:00,12.72
txn_000008921,2025-03-04 05:26:48+00:00,10.38
txn_000009084,2025-01-28 12:43:06+00:00,13.39
txn_000009127,2025-03-01 14:06:04+00:00,6.13
txn_000009175,2025-02-21 16:04:04+00:00,11.8
txn_000009247,2025-03-09 19:48:44+00:00,21.82
txn_000009249,2025-03-11 19:49:46+00:00,14.6
txn_000009260,2025-03-16 20:22:53+00:00,11.82
txn_000009289,2025-02-19 21:35:55+00:00,18.94
txn_000009343,2025-02-03 00:08:06+00:00,9.64
txn_000009389,2025-03-03 02:41:07+00:00,10.33
txn_000009559,2025-03-18 09:55:26+00:00,22.2
txn_000009570,2025-02-06 10:16:15+00:00,8.2
txn_000009632,2025-02-04 13:02:54+00:00,11.89
txn_000009694,2025-03-03 16:18:25+00:00,14.43
txn_000009702,2025-01-27 16:27:59+00:00,12.76
txn_000009714,2025-02-13 17:00:39+00:00,20.66
txn_000009778,2025-02-13 19:31:23+00:00,17.87
txn_000009922,2025-02-24 02:20:10+00:00,30.13
txn_000009951,2025-02-04 03:20:40+00:00,9.05
txn_000009956,2025-02-27 03:44:34+00:00,19.34
txn_000010031,2025-03-12 07:25:41+00:00,14.05
txn_000010054,2025-02-02 08:48:57+00:00,10.36
txn_000010059,2025-03-19 09:01:56+00:00,7.51
txn_000010068,2025-02-07 09:16:32+00:00,11.82
txn_000010109,2025-02-22 10:59:10+00:00,6.13
txn_000010111,2025-02-24 11:00:10+00:00,20.9
txn_000010224,2025-02-02 16:04:34+00:00,9.92
txn_000010348,2025-02-08 21:25:47+00:00,23.98
txn_000010367,2025-03-18 22:21:33+00:00,7.09
txn_000010396,2025-03-19 23:37:25+00:00,14.82
txn_000010404,2025-02-23 23:50:57+00:00,9.97
txn_000010510,2025-03-07 04:36:54+00:00,19.62
txn_000010537,2025-03-16 05:39:12+00:00,18.02
txn_000010560,2025-02-10 06:29:53+00:00,32.06
txn_000010588,2025-03-07 07:43:41+00:00,24.98
txn_000010591,2025-01-30 07:45:39+00:00,27.9
txn_000010617,2025-01-30 08:40:40+00:00,16.65
txn_000010649,2025-02-01 10:23:40+00:00,22.63
txn_000010690,2025-03-04 12:14:56+00:00,7.85
txn_000010697,2025-02-09 12:28:15+00:00,15.82
txn_000010757,2025-02-18 15:26:01+00:00,15.18
txn_000010791,2025-01-30 16:35:30+00:00,16.1
txn_000010819,2025-02-23 17:44:03+00:00,33.41
txn_000010844,2025-02-18 18:37:46+00:00,18.68
txn_000010863,2025-02-01 19:11:19+00:00,23.74
txn_000010909,2025-02-15 20:58:30+00:00,24.16
txn_000011085,2025-02-08 05:51:22+00:00,17.35
txn_000011144,2025-02-08 08:11:01+00:00,14.83
txn_000011150,2025-01-28 08:23:46+00:00,28.93
txn_000011205,2025-03-17 10:28:38+00:00,23.49
txn_000011232,2025-02-07 11:31:32+00:00,27.87
txn_000011282,2025-02-25 13:40:52+00:00,15.6
txn_000011284,2025-02-12 13:48:52+00:00,18.22
txn_000011308,2025-03-04 14:45:46+00:00,23.12
txn_000011382,2025-02-27 17:28:28+00:00,23.05
txn_000011433,2025-03-09 19:31:26+00:00,15.43
txn_000011434,2025-03-01 19:32:51+00:00,24.3
txn_000011438,2025-02-16 19:45:03+00:00,14.32
txn_000011448,2025-02-02 20:08:16+00:00,19.01
txn_000011478,2025-01-30 21:17:51+00:00,33.72
txn_000011584,2025-02-26 02:15:50+00:00,20.41
txn_000011603,2025-02-17 02:56:05+00:00,41.0
txn_000011616,2025-03-15 03:28:10+00:00,20.78
txn_000011649,2025-02-13 04:47:26+00:00,17.95
txn_000011687,2025-02-17 06:28:34+00:00,9.18
txn_000011705,2025-03-09 07:14:32+00:00,39.75
txn_000011733,2025-03-18 08:16:29+00:00,32.94
txn_000011835,2025-02-16 12:41:23+00:00,25.09
txn_000011920,2025-02-20 16:37:41+00:00,21.87
txn_000011981,2025-03-14 19:42:04+00:00,8.9
txn_000012000,2025-03-19 20:27:07+00:00,7.91
txn_000012096,2025-03-09 00:41:59+00:00,5.96
txn_000012107,2025-02-19 01:22:04+00:00,13.0
txn_000012142,2025-03-07 02:48:26+00:00,17.41
txn_000012162,2025-02-05 03:36:54+00:00,9.11
txn_000012178,2025-02-13 04:18:05+00:00,15.69
txn_000012179,2025-02-18 04:22:12+00:00,14.1
txn_000012197,2025-03-14 05:19:19+00:00,31.06
txn_000012321,2025-03-06 10:52:36+00:00,22.3
txn_000012386,2025-03-02 13:37:08+00:00,22.39
txn_000012413,2025-02-21 15:01:07+00:00,12.99
txn_000012477,2025-02-19 18:20:12+00:00,20.2
txn_000012531,2025-02-09 20:46:01+00:00,19.04
txn_000012535,2025-01-31 20:56:11+00:00,8.92
txn_000012540,2025-02-23 21:14:21+00:00,11.54
txn_000012554,2025-01-30 21:49:51+00:00,9.81
txn_000012694,2025-02-07 04:17:36+00:00,8.12
txn_000012834,2025-02-07 11:32:45+00:00,21.0
txn_000012860,2025-02-16 12:32:55+00:00,23.98
txn_000012891,2025-02-20 14:03:01+00:00,14.46
txn_000012924,2025-03-12 15:35:34+00:00,25.53
txn_000012953,2025-02-09 16:52:57+00:00,18.81
txn_000013108,2025-03-21 23:14:57+00:00,20.57
txn_000013122,2025-02-26 23:49:27+00:00,16.68
txn_000013142,2025-02-20 00:47:59+00:00,10.93
txn_000013162,2025-02-18 01:24:56+00:00,7.26
txn_000013185,2025-02-18 02:27:52+00:00,10.72
txn_000013206,2025-02-27 03:32:27+00:00,9.38
txn_000013278,2025-02-25 06:32:00+00:00,30.23
txn_000013289,2025-02-25 06:57:22+00:00,11.53
txn_000013312,2025-02-14 07:48:21+00:00,7.61
txn_000013340,2025-03-07 09:35:12+00:00,22.22
txn_000013349,2025-03-17 10:01:13+00:00,8.99
txn_000013378,2025-03-26 11:27:34+00:00,43.93
txn_000013403,2025-02-27 12:35:05+00:00,24.69
txn_000013425,2025-03-17 13:19:24+00:00,7.64
txn_000013491,2025-03-06 16:49:32+00:00,17.49
txn_000013495,2025-02-03 16:59:32+00:00,13.9
txn_000013541,2025-02-05 18:40:54+00:00,10.86
txn_000013553,2025-03-01 19:24:25+00:00,16.7
txn_000013587,2025-02-08 20:50:09+00:00,15.81
txn_000013592,2025-02-01 21:05:59+00:00,24.26
txn_000013700,2025-02-27 02:34:36+00:00,15.19
txn_000013719,2025-02-12 03:24:59+00:00,24.27
txn_000013772,2025-02-02 05:54:51+00:00,18.09
txn_000013809,2025-02-05 07:30:03+00:00,20.62
txn_000013911,2025-03-15 12:00:30+00:00,14.09
txn_000014002,2025-02-03 16:20:54+00:00,12.8
txn_000014012,2025-02-03 16:41:24+00:00,6.77
txn_000014015,2025-02-06 16:49:33+00:00,17.24
txn_000014018,2025-03-13 16:54:21+00:00,15.63
txn_000014027,2025-03-01 17:22:23+00:00,9.21
txn_000014028,2025-02-08 17:22:39+00:00,16.98
txn_000014105,2025-02-19 20:43:32+00:00,18.2
txn_000014131,2025-03-02 21:50:21+00:00,26.69
txn_000014135,2025-03-23 22:10:13+00:00,13.4
txn_000014163,2025-03-02 23:22:39+00:00,10.42
txn_000014251,2025-03-03 03:31:22+00:00,39.77
txn_000014296,2025-02-22 05:15:11+00:00,6.09
txn_000014502,2025-03-10 14:15:43+00:00,18.04
txn_000014536,2025-03-04 15:31:50+00:00,10.45
txn_000014649,2025-03-06 20:21:53+00:00,10.84
txn_000014732,2025-02-20 00:55:13+00:00,9.13
txn_000014780,2025-03-13 03:10:21+00:00,27.34
txn_000014784,2025-03-03 03:23:05+00:00,14.35
txn_000014817,2025-02-28 04:37:41+00:00,16.22
txn_000015059,2025-02-18 15:14:04+00:00,15.5
txn_000015098,2025-03-25 16:56:37+00:00,12.94
txn_000015119,2025-03-25 17:48:11+00:00,23.96
txn_000015156,2025-03-15 19:18:24+00:00,15.31
txn_000015195,2025-03-05 21:00:17+00:00,13.01
txn_000015196,2025-03-05 21:01:10+00:00,7.71
txn_000015217,2025-03-20 22:16:55+00:00,6.5
txn_000015267,2025-03-07 00:39:22+00:00,20.17
txn_000015294,2025-02-06 01:55:15+00:00,17.02
txn_000015322,2025-02-11 02:45:06+00:00,28.38
txn_000015361,2025-03-15 04:28:18+00:00,11.94
txn_000015429,2025-03-10 08:14:46+00:00,17.34
txn_000015432,2025-03-23 08:33:23+00:00,7.38
txn_000015433,2025-02-22 08:34:23+00:00,31.48
txn_000015567,2025-03-24 14:43:20+00:00,10.74
txn_000015765,2025-03-16 22:46:38+00:00,10.85
txn_000015766,2025-02-19 22:51:57+00:00,9.73
txn_000015837,2025-02-24 01:37:34+00:00,16.62
txn_000015866,2025-03-05 02:59:12+00:00,23.67
txn_000015890,2025-03-13 04:03:58+00:00,14.13
txn_000015957,2025-02-24 06:57:29+00:00,28.61
txn_000015960,2025-02-08 07:12:40+00:00,15.25
txn_000016112,2025-02-24 14:27:00+00:00,16.57
txn_000016140,2025-03-31 15:40:27+00:00,9.19
txn_000016238,2025-03-02 19:25:00+00:00,12.27
txn_000016304,2025-02-23 21:47:32+00:00,18.65
txn_000016354,2025-03-15 00:21:56+00:00,29.7
txn_000016468,2025-02-17 04:26:17+00:00,18.45
txn_000016558,2025-03-21 08:25:31+00:00,11.91
txn_000016636,2025-02-14 12:13:18+00:00,10.31
txn_000016647,2025-02-13 12:25:49+00:00,9.45
txn_000016682,2025-03-17 14:12:56+00:00,8.29
txn_000016734,2025-03-27 16:31:10+00:00,44.51
txn_000016765,2025-02-11 17:47:24+00:00,20.07
txn_000016774,2025-03-06 18:22:35+00:00,14.18
txn_000016866,2025-02-27 22:07:46+00:00,16.61
txn_000016905,2025-03-28 23:54:22+00:00,18.92
txn_000016929,2025-03-14 00:59:17+00:00,25.62
txn_000016950,2025-03-28 01:47:21+00:00,15.73
txn_000016953,2025-02-08 01:58:38+00:00,20.81
txn_000016954,2025-02-18 02:00:43+00:00,35.46
txn_000017012,2025-03-23 04:31:35+00:00,26.37
txn_000017018,2025-03-07 05:03:43+00:00,7.78
txn_000017031,2025-03-06 05:39:24+00:00,10.8
txn_000017046,2025-03-14 06:41:09+00:00,12.8
txn_000017060,2025-02-20 07:26:14+00:00,25.04
txn_000017065,2025-02-16 07:33:09+00:00,19.01
txn_000017175,2025-02-18 12:16:16+00:00,10.79
txn_000017182,2025-03-05 12:40:50+00:00,24.27
txn_000017291,2025-03-12 17:13:17+00:00,8.92
txn_000017319,2025-02-22 18:17:36+00:00,8.66
txn_000017388,2025-03-21 20:58:08+00:00,11.82
txn_000017416,2025-03-26 22:14:50+00:00,13.71
txn_000017435,2025-03-13 23:02:43+00:00,22.27
txn_000017444,2025-04-02 23:34:15+00:00,13.86
txn_000017499,2025-03-04 01:55:24+00:00,14.15
txn_000017604,2025-03-19 06:26:36+00:00,23.26
txn_000017664,2025-02-12 09:18:22+00:00,25.76
txn_000017685,2025-02-16 10:21:14+00:00,12.09
txn_000017732,2025-03-10 12:58:50+00:00,20.09
txn_000017958,2025-03-19 21:58:39+00:00,10.45
txn_000018087,2025-03-08 03:20:17+00:00,10.41
txn_000018225,2025-03-29 09:31:32+00:00,8.86
txn_000018243,2025-02-24 10:18:49+00:00,16.15
txn_000018273,2025-03-05 11:21:02+00:00,22.13
txn_000018297,2025-02-10 12:19:25+00:00,24.73
txn_000018405,2025-03-16 17:05:04+00:00,18.94
txn_000018563,2025-04-01 23:53:07+00:00,7.46
txn_000018580,2025-02-27 00:34:37+00:00,22.93
txn_000018581,2025-03-26 00:40:42+00:00,32.74
txn_000018612,2025-03-03 02:03:43+00:00,15.17
txn_000018636,2025-03-08 03:08:11+00:00,8.05
txn_000018683,2025-02-24 04:50:07+00:00,21.5
txn_000018694,2025-03-22 05:12:35+00:00,17.78
txn_000018728,2025-03-06 06:36:51+00:00,22.52
txn_000018851,2025-03-24 11:47:04+00:00,38.02
txn_000018862,2025-03-31 12:22:51+00:00,14.58
txn_000018956,2025-04-05 16:29:53+00:00,23.49
txn_000019022,2025-03-21 19:35:55+00:00,6.65
txn_000019033,2025-03-24 20:05:52+00:00,9.31
txn_000019057,2025-03-15 21:19:36+00:00,31.71
txn_000019070,2025-02-16 21:47:17+00:00,26.56
txn_000019077,2025-03-12 22:08:57+00:00,14.5
txn_000019115,2025-03-28 00:03:50+00:00,36.28
txn_000019121,2025-02-24 00:15:07+00:00,19.03
txn_000019125,2025-02-13 00:32:28+00:00,17.88
txn_000019154,2025-03-19 01:55:24+00:00,28.9
txn_000019185,2025-03-20 03:16:44+00:00,31.4
txn_000019205,2025-03-28 04:10:44+00:00,24.41
txn_000019249,2025-04-01 06:04:00+00:00,35.68
txn_000019293,2025-04-02 08:16:54+00:00,14.9
txn_000019435,2025-03-04 14:12:43+00:00,11.6
txn_000019459,2025-03-19 15:30:10+00:00,10.96
txn_000019490,2025-03-08 16:37:26+00:00,15.83
txn_000019628,2025-02-17 22:22:32+00:00,17.22
txn_000019647,2025-02-23 23:12:56+00:00,12.65
txn_000019712,2025-04-03 01:44:39+00:00,7.49
txn_000019720,2025-02-26 02:02:18+00:00,13.6
txn_000019731,2025-04-06 02:36:59+00:00,17.6
txn_000019748,2025-03-14 03:16:47+00:00,13.88
txn_000019756,2025-02-23 03:30:57+00:00,11.82
txn_000019778,2025-02-14 04:35:46+00:00,7.01
txn_000019836,2025-03-09 06:41:26+00:00,35.87
txn_000019892,2025-02-14 08:37:06+00:00,43.84
txn_000019900,2025-02-16 08:47:57+00:00,8.83
txn_000019921,2025-02-25 09:28:31+00:00,16.21
txn_000019922,2025-03-28 09:30:25+00:00,12.54
txn_000019946,2025-03-20 10:12:17+00:00,27.29
txn_000020008,2025-03-05 13:12:23+00:00,25.99
txn_000020151,2025-03-30 19:07:53+00:00,10.03
txn_000020214,2025-04-04 21:32:51+00:00,9.3
txn_000020286,2025-02-27 00:29:32+00:00,21.87
txn_000020287,2025-02-24 00:32:21+00:00,5.9
txn_000020315,2025-02-14 01:51:56+00:00,14.65
txn_000020319,2025-04-03 02:01:39+00:00,12.64
txn_000020327,2025-03-20 02:19:53+00:00,14.75
txn_000020367,2025-02-24 03:53:19+00:00,10.38
txn_000020407,2025-03-13 05:47:57+00:00,10.91
txn_000020425,2025-03-21 06:36:09+00:00,18.28
txn_000020476,2025-02-28 08:37:21+00:00,22.88
txn_000020477,2025-03-14 08:40:58+00:00,10.0
txn_000020540,2025-04-01 10:40:16+00:00,18.3
txn_000020603,2025-03-01 13:25:06+00:00,24.13
txn_000020621,2025-03-16 14:13:08+00:00,23.48
txn_000020630,2025-03-25 14:41:08+00:00,25.61
txn_000020653,2025-02-23 15:40:23+00:00,12.21
txn_000020690,2025-03-28 17:36:55+00:00,6.99
txn_000020762,2025-03-29 20:29:20+00:00,13.4
txn_000020815,2025-03-18 22:43:07+00:00,21.06
txn_000020975,2025-04-05 06:03:14+00:00,9.55
txn_000021007,2025-04-02 07:20:31+00:00,21.9
txn_000021103,2025-02-24 11:32:31+00:00,9.53
txn_000021109,2025-03-19 11:44:27+00:00,13.42
txn_000021125,2025-04-08 12:07:27+00:00,15.61
txn_000021155,2025-02-27 13:32:05+00:00,9.13
txn_000021202,2025-03-13 15:05:40+00:00,13.48
txn_000021205,2025-03-09 15:10:25+00:00,6.58
txn_000021258,2025-03-22 17:30:36+00:00,12.67
txn_000021268,2025-03-23 17:50:03+00:00,16.94
txn_000021341,2025-02-17 20:37:36+00:00,25.68
txn_000021424,2025-03-24 23:53:40+00:00,30.24
txn_000021447,2025-03-20 01:06:53+00:00,18.35
